offering_id,overall,value,service,location,rooms,cleanliness,sleep_quality,review_text
283873,5.0,5.0,5.0,5.0,5.0,5.0,,"“Amazing stay!!” I booked the room through orbitz.com, and got a very surprising rate. Upon check-in I discovered that the room was directly next to an elevator, and microscopic in size. Honestly, there is no way two people could have stayed in this room. Make sure you tell them that you do not want this type of room. I walked back down to the front desk, and explained that I was on vacation with my girlfriend and the room was far too small. Without hesitation, they upgraded us at no charge to an absolutely amazing room. We could not have asked for more. The room was on one of the higher floors with a south view facing the downtown skyline. The bathroom was extremely spacious (about the size of the room we had initially) with a large walk in shower and separate tub that was as deep as a swimming pool (amazing!). Room service was prompt and the food was definitely impressive albeit a bit on the expensive side. Then again, room service isn't cheap anywhere. The hotel is within walking distance of countless bars and restaurants in the downtown area. The hotel has a shuttle service that was very convenient as well. One of the employees, Tank, took us to a number of destinations in the hotel's car. Absolutely the nicest and most helpful person at the Icon. If you're looking for a place to eat near the hotel, ask to be taken to the Last Concert Cafe which is roughly a mile away on Nance St. It is a historic restaurant in Houston with great Mexican food. I cannot say enough about the Icon Hotel in Houston. Honestly I don't have a single complaint, and can't wait to stay there again. I've stayed in just about every nice hotel in Houston, and since the Warwick Hotel is no longer, I wouldn't recommend many other places than the Icon."
93357,2.0,,,,,,,"“Leaving so soon?” I had stayed at the Park Savoy two years ago and had no problems with it--while fairly barebones, the room I had then was comfortable with a huge closet and a decent sized bathroom.
Based on past history, I booked the Park Savoy again on very short notice and got one of the smallest rooms. No problem there--the full bed and small bathroom (shower only) were fine, but someone had left the bathroom window partially open and it was freezing in there for virtually my complete stay since I could never figure out how to work the radiator.
The big problem was related to checking out. Apparently, on the day you leave, your electronic key will not work past a certain time despite the fact that checkout is 11 am. I had gone out around 9 to sightsee and get some breakfast and when I got back at 10:30 to pack up and leave, my key would not work. It took nearly 20 minutes to get the whole thing sorted out and in retrospect, it seems kind of stupid since all I wanted to do was get back in the room and grab my suitcase. Why can't they wait until 11 to shut off the key?
That said, the Park Savoy is still a decent (and clean) budget option, but the last 30 minutes of my stay did leave a bad taste."
93398,2.0,1.0,2.0,3.0,2.0,3.0,1.0,"“Must have caught them on a bad day, I guess!” It started bad from the check-in. The person at the front desk was clearly new and took 3 times as long checking me in as it should have (there was no one else checking in.) When I asked him if, as this was my first time at the hotel, if an upgrade was ""in my future"" for the night, he laughed and said ""no, maybe on your second visit"". He then proceeded to put me in a room that was one floor above the bar. (More on this later). He then took forever to scan my ID and then gave me a room key that would not work in the elevator. When I brought it back down, a different clerk gave a key that worked. 
Now, I booked the room thru Priceline and the confirmation clearly stated, ""Queen deluxe...this room has a separate seating area"". The separate seating area consisted of a designer chair with what amounted to a miniature TV tray next to it at the very corner of the queen bed. I guess they must have considered this combination to almost act as the work area as there was no other work surface in the room. When I noticed my remote control wasn't working, I informed the front desk on my way out for the evening and they said they would have it fixed when I got back.,
Fast forward and its now 11:30pm, I notice the bar disco is going at FULL volume and sure enough, when I get to my room, I am serenaded by the not so melodic super bass from the bar RIGHT BELOW MY ROOM. And, of course, the remote control still does not work. I call down to report this and again, get a very sweet ""I'm sorry"" and ""I'll send someone right up"". The night bellman diagnosed and fixed the problem immediately and I was now free to watch a little TV and go to sleep.
Not so fast! Somehow, the music below got even louder, so I called down to the front desk and asked if my future was to be awake all night. They gave me a very nice ""I'm sorry"" and offered to move me to a higher floor which I immediately accepted. When the bellman arrived with my new key I asked him how they could book a room right above a bar that plays LOUD music until 2am! He informed me that it is a common complaint and that the hotel DOES NOT OWN the bar and have no control over its operation. I find it unconscionable that a hotel as highly rated as this one would book people into a room with this kind of known condition. 
The final touch to my experience was the wake-up call. I was leaving on a 5:45am flight the next morning and asked for a 3:30 wake-up call for a 4am car. (I even made it twice due to switching rooms). My eyes popped open at 3:40am with that panicked feeling we all know and love. Ten minutes later I receive a cheery call, ""...good morning, this is your wake-up call..."". When I inform the clerk that it was 20 minutes late I receive the well trained ""I'm sorry"" and then I hang up. I didn't even bother to check-out for fear of being further delayed, but if the manager is reading this, I hope they will have the decency of at the very least refunding the $10 wi-fi charge. Service recovery goes a long way.
I have learned in my 30 years of travel to never say never, but I can safely say it will be quite some time before the 60 Thompson sees me again."
122005,1.0,,,,,,,"“Horrible hotel” This is the worst ever hotel I have stayed at in NYC. Visited the hotel in December. The room was very old and extremely cold. Crowded with youngsters - tourists. The building itself - seen from outside has a Nice architecture, but the innsiden is not Nice."
99371,3.0,2.0,2.0,4.0,3.0,4.0,,"“clean, but issues with service” I understand it is always hard to meet expectations in a service industry, but too many strikes against the marriott on this visit.
I reserved 3 rooms. After being told that they could all be on the same floor, only two were on the same floor. 
Having arrived at 3pm, I could only get into one room.
They messed up one of my relatives reservations, and would not honor the original room rate (only a small nightly difference).
I called for my car, which was valet parked ($45/day), and it took 35 minutes to get it, even though it was 6 in the morning. 
I went downstairs to get a luggage cart to get my suitcases out of our rooms when leaving. When I got back downstairs, I was instructed that I wasn't allowed to take the carts. 
Other items to note: No lobby to speak of. No food other than breakfast. ""room service"" is delivery from a nearby restaurant. 
As you can read, none of these were serious offenses. The rooms were clean. Shower had plenty of hot water. Rooms were a perfectly reasonable size. Breakfast buffet was fine.
I'll stay elsewhere the next time I am in NYC. At $200/night, this would have been fine. At $375, I expected more."
93398,4.0,,,,,,,"“One night's stay” Stayed one cold night in December. Room was nice and well decorated with a fancy shower but no tub. Lobby and bar were really nice, the room came close but was relatively small and unfortunately was supposed to be non-smoking but from the burns on the floor and the smell on the phone was obviously for smoking. A bit noisy too, caused by an adjacent occupant. Overall, pretty good."
249712,4.0,2.0,4.0,4.0,5.0,5.0,,"“For expense-account travelers and the wealthy” The Westin is an excellent hotel if you are OK with spending $500/night for your room (including taxes) or having someone spend it on your behalf. The $500 is just for a start, though, since continental breakfast is $20, wired Internet access is $15, the exercise facility is $10, designer water in the room is $7, and even printing your airline boarding pass is $1.50. If you upgrade (higher room rate) to the Executive room, then you get a 17"" iMac in the room (nice touch!), a 32"" LCD TV, and access to the lounge, which includes a continental breakfast.
As for the location, you are literally on top of 9 subway lines, a block from 40 movie theaters, close to the Port Authority Bus Terminal, and within walking distance of all of the Broadway theaters. If you like the activity of the Times Square neighborhood, this hotel or the nearby Hilton and Marriott is for you. However, the Millennium Broadway and the Muse (Kimpton) are not far away, and they are considerably quieter. (I've stayed in all of these hotels over the years, but personally prefer to stay on the quieter Upper West Side near Broadway and the number 1 subway line).
As I'm an ""urban survivor"" by nature, I didn't mind the frequent sirens on 42nd Street or 8th Avenue, but that might be an annoyance for some visitors. On the second night of my stay, we were awakened at 4:30 AM by a fire alarm and a sequence of announcements broadcast over a speaker system into the guest rooms. After 20 minutes, we were told that it was a false alarm. From what I could tell, the hotel staff treated this event as a routine occurrence, so make sure that you bring pajamas and a robe with you for a possible room evacuation."
93614,5.0,4.0,5.0,5.0,5.0,5.0,,"“An Elegant Past for a Modern Present” We spent two nights at the flagship St. Regis hotel in New York City in February 2007. What a wonderful stay – we’d go back again in a minute. 
This hotel boasts a kind of hushed elegance that strikes just the right counterbalance to the hustle and bustle of New York City. The location, on Fifth Avenue in the mid-50s, is far enough away to avoid the crowds of the theater district but close enough to make getting around simple and straightforward. The lobby and public spaces are both grand and intimate and the hallways are hushed and elegant. The flowers and fine decoration everywhere make it seem the height of luxury. The hotel’s layout, design, service and amenities are all as top-notch as you would expect. 
The highlight of our stay was the room. We were upgraded to an Astor Suite and greatly enjoyed the extra space. The rooms are traditional, but with modern amenities and the result is a nice blend of both elegance and technology that is not an easy thing to pull off in a hotel room. The St. Regis succeeds very well in this regard, probably because it has always been a high-end hotel and changes made during the renovation simply updated what was already there. We’re not sure if they added soundproofing during the renovation or if the hotel has always been so quiet: either way it’s a truly relaxing escape, with no outside sounds to interfere with the wonderful ambiance of the rooms. 
The front desk service, housekeeping and concierges are all excellent. We particularly enjoyed the food and beverage presentations, complimentary pressing and shoe shines and “no problem” attitude of the wonderful butler service. The only drawback to our stay was the service in the restaurant and bar. We’re Four Seasons people and we’re accustomed to service in the bar and restaurant being one of the highlights of our stay at those properties. Despite the elegance and luxury of the St. Regis, the bar service was perfunctory at best and the breakfast service was slow and mostly unfriendly. That’s a shame, because the space (even with the current construction in the restaurant) is beautiful. We didn’t sit in the bar itself because the small space was overflowing with people (we sat in the lower bar/restaurant area instead), but it looked very nice and we’d recommend at least seeing it during your stay at this hotel. 
This is not a hotel for families on vacation in New York City: it’s a more refined and elegant space than the typical tourist hotel. It’s probably also not a hotel for serious business travelers who need service beyond their rooms: the business center is a dark room off the staircase with what looks like discarded furniture and very little privacy. This is a hotel for people looking for an elegant, luxurious, relaxing place to stay in the heart of New York City. If that’s what you want, and you’re willing to splurge to get it, this is the hotel for you."
114583,5.0,4.0,5.0,5.0,5.0,4.0,5.0,"“Love this Hotel !!!” The rooms are cozy and comfy, the staff is courteous, kind and thoughtful and the location is ideal. The only problem I have ever had here is some parking issues, but they were always addressed immediately and resolved on the spot. I will come back again and again and again.
PS. - the bar is great and food is good."
99054,1.0,2.0,2.0,5.0,1.0,1.0,,"“Marriott Frequent Guest's/Business Folks, you will be upset” This property has not been renovated. Old rooms, very small, you need to close the door to the bathroom to move around in it. As a platinum member of Marriott, it is not up to par with all other full service Marriott's. I have stayed at the Courtyard near by, which was much nicer. The lounge on the 12th was tiny, standard soda/water, but very small. My bathroom sink did not drain, no wired internet, only wireless. Nice staff, but there is nothing they can do... No platinum parking. Worked late one night and ordered room service, the wings are no good..."
1938661,3.0,4.0,3.0,,,3.0,4.0,"“Nothing special” The great advantages are location and price. It's located in the heart of Theater District, a few steps from Time Square. The price is fair for a well located hotel with a standard room. They don't have free wireless internet. I paid a fortune to use internet and print a sheet. I would go back there and recomend to a friend."
1128769,4.0,3.0,4.0,4.0,4.0,5.0,5.0,"“The nice Thompson Hotel” I've stayed at other Thompson hotels and this one is probably the best. The hotel is fairly new so all the rooms/amenities are quite nice and clean. The hotel bar/lounge was a great spot for people to meet up for a drink before we headed out and the staff were super nice.
We got a good rate ($240 per night) right after fashion week in late Feb, but I hear this hotel is normally about $100 more. Either way I recommend searching online for better deals than calling the hotel. Also, get a deal with breakfast included. Its a nice convenience and the food is better than the breakfast you'll get at the Deli next door.
If you stay here you'll LOVE the shower (rains down on you from above) and you'll have to check out Meatball, right around the corner. That restaurant does this great meatball trays and they have the best Ice Cream sandwiches late-night. Yep - it's horrible for a diet but it's a great way to feel like a kid again! =)"
675616,5.0,2.0,4.0,5.0,5.0,5.0,5.0,"“Huge difference!” I've stayed at The Plaza several times before they renovated and downsized. What a huge improvement they've made! I was a little surprised for a weekend in August the hotel didn't have the usual busy buzz, but I much preferred that than sifting my way through a busy lobby with lots of tourists snapping pictures. The hotel did a fantastic job keeping the beautiful aspect of the iconic hotel's old world charm and infusing the new at the same time. I spent a great deal of time in the bathroom, how can one not when the tub is so massive. The one small problem, it's not like the Four Seasons where the tub fills up in 60 seconds. It took a very very long time for it to fill. The gold plated faucets didn't look so tacky offset with the white. Bathrobes were plush and comfortable.
I didn't take advantage of the vast array of services the hotel offers, but then when you're in NY you want to do more outside than hide in a hotel. I would definitely check out Todd English's food outlet in the basement. It's a great place to grab something quick to eat. The concierge recommended a French Bistro that we were not overly impressed with. 
It's a very pricey hotel, I would only recommend it for those who want to stay for a special occasion."
281697,3.0,4.0,4.0,3.0,3.0,4.0,3.0,"“No Complaints; No Raves” One night business trip, Location worked and rate was quite reasonable. Complimentary upgrade to 1 bdr w/kitchen (thank you!). Staff was pleasant; room clean. Decor was almost depressing in the lack of style. All beige and dated - felt dirty even though it was a clean room. Insufficient electric oulets and lighting. Shower was weird -- required instructions (helpful) but still no way to turn it on w/o getting wet. Equipped kitchen (lost on me), but no coffee maker (?). Hotel makes a big deal out of the linens. Don't know why. Bed was at best a 5 on a scale of 1-10. Didn't eat in restaurant. Went next door instead to decent pub (loud; great beer selection; food surprisingly good). I'm not disappointed with the stay, but I won't hurry back either because I can't think of a reason to do so."
93440,2.0,2.0,4.0,,2.0,3.0,,"“Recent Renovations Need Another Renovation” I am a frequent visitor to NYC and have stayed at many of the larger hotels in the city. The Flatotel was a property I had wanted to stay at for some time...finally got the opportunity in April, 2005. The service was terrific. After an early morning flight, I arrived at the hotel just after breakfast, expecting to be told I could store my luggage until check-in time. What a surprise when they allowed me to check into my room. The staff, from the front desk to the bar staff to the women working in the small gift shop were all pleasant and exceedingly friendly. The room, and the hallways, although recently renovated, already look like they are due for another renovation. The bathroom was large and clean...but the room itself looked a bit rough around the edges. Had a cheap kettle in the room that never warmed up enough to make tea/coffee, nothing in the bar fridge and beds were not particularly comfortable. Location can't be beat."
1045286,3.0,4.0,4.0,3.0,3.0,4.0,2.0,"“Good stay but could have been better” My daughter and i visited Chicago to see the city and go to a couple of cubs games from 8 May -13 May and were using reward points. i will do a pros and cons for this stay:
PROS-
1. early checkin- big thumbs up to be able to drop bags off and not worry about coming back later to checkin.
2. nice breakfast-had just about anything you would have wanted.
3. location-i will put this in the pros and also the cons. really like how close the ""L"" was to the hotel.
4. really close to some good resteraunts like the Weber Grill and Rosebud Trattoria.
Cons:
1. using points i was hoping for a bigger room with a somewhat decent view...room 1021 had a great view of the huge crane next door and the construction of the building or some structure going up. not the hotels fault but...
2. the extremely loud club next door which was banging techno music until at least 3am. again not the hotels fault but be warned if you are a light sleeper. i would suggest to get on the front side of the hotel on the street with Ruth Chris to help drown out the noise
3. Parking-we took the ""L"" everywhere but if you have a car it is $54 a day for parking. ouch! 
4. elevators-had some minor issues. i am all for security but i had trouble with my room key using the key pad to get the elevator. i kept getting a yellow light and had to have the card changed out twice to get it to work. one day the key pad was not working and the elevator was done and some people were walking up 10-20 stories to get to their room. finally you may want to allow time on Sundays for getting to the lobby for checkout. took about 15 minutes to get an elevator with what seemed like everyone coming down at the same time (again this is not the hotels fault, just a friendly warning.
normally i stay at the Residence Inn on East Walton Street but chose this hotel from the reviews. i would stay here again but i would make sure that the room is on the other side of the hotel. if i couldn't then i would go back up 1 stop on the ""L"" to the CHicago stop and stay in a quieter area of town at the Residence Inn."
93450,2.0,3.0,5.0,5.0,2.0,1.0,,"“Dark Rooms dated decor but wonderful staff” You have to pity the excellent staff at this hotel. Their good work is let down by the quality of the facilities. Every encounter with the staff was pleasant and all my requests were fulfilled. 
The decor was at one time excellent - 1988. 
The room i got was dark and the bathroom was small and smelled musty.
There were no light fixtures in the room - only lamps. The room felt worn and dated. I could see the dust in the carpets around the doors. 
The elevators had worn call buttons and the corridors leading to the rooms, although wide were dark.
I was there on a business conference. The conference facilities were very good. The staff managed food and beverage service very efficiently. The quality of the food was also quite nice.
Stay here if you get a really cheap rate or your company is paying for it. There could be no complaint about the location."
1218792,5.0,5.0,4.0,5.0,5.0,5.0,,"“Great place to stay” This a great place to base yourself for a trip to New York. The hotel is located on a relatively quiet street just out of the hustle and bustle. It's just a short walk away from Penn Station (we got the train to and from Newark Airport, The Meadowlands and Prudential Center), Madison Square Garden, Empire State Building and others. There's also the option of a subway station right on the doorstep, but NY is best experienced on foot. The hotel is relatively new so everything is in good condition. Our 23rd floor city view room was nice and clean but quite small (but apparently above average for NY according to other reviews). We were looking North which is superior to the rooms which have a view of the Empire State Building. The beds were comfortable, but there is no in-room safe which is unsatisfactory. The Business Center has 4 computers which are free to use and there is also free wi-fi internet access in your room. We didn't have any problems with the lifts mentioned in some reviews. We only had breakfast once in the hotel due to the excessive cost. Staff were friendly and helpful when required. We were very happy with our choice of hotel."
93486,5.0,5.0,5.0,5.0,4.0,4.0,,"“Great location and stay” This hotel is more of a boutique one and very nicely located within Times Square, a close subway stop and Broadway. The staff couldn't have been nicer and more helpful. We enjoyed drinks here but never a meal so I can't comment on the food. The only thing I wish they had in the rooms was a coffee/tea service for those times when you just wanted to stay in your room and relax in the morning. We had a Superior Room with an incredible view of the Paramount. Nice twin beds with comfy sheets. The bedspread was beautiful but with it's satin lining, I had a heck of a time keeping it on the bed during the night. An extra blanket would have been nice on the bed instead (with the spread folded back). The room wasn't large but suitable for what we needed. The bathroom could have used a bit of bleach on the tile but otherwise everything was clean and shiny. Thanks for a wonderful stay in an incredible city!"
93430,1.0,1.0,2.0,1.0,1.0,1.0,,"“Wanted to Love But Ended Up Loathing & Checking Out Early!” We spent Thanksgiving in NYC, and used American Express Travel Rewards, and we had planned on staying for three nights. I contacted the hotel prior to arrival and told them it was our anniversary, and requested a room on a higher floor, and was pleasantly surprised upon check-in that we had been upgraded to a junior suite, we had originally booked a premier king sized room.
Our room was on the 10th floor, and we stayed in room 1015. The hallways are very, very dark and narrow. It was an odd configuration, as you descended down the hallway, there are three steps that lead to three rooms, with a service elevator outside. This became an issue when food service trays, and laundry were left in the hallway for hours at a time, the pictures tell the story.
The room while on appearances, looked nice, I didn't know why it was classified as a junior suite, usually there is a partial wall, divider, separate sitting area, and there wasn't, just a couch against a wall. The nightstands had clearly seen better days, as both were heavily battered, and had chipping paint, so did the wall in the bathroom.
One of the main reasons I booked this hotel was the Kimpton Hotel chain prides itself on being environmentally responsible and eco-savvy, and that is something I strive for in my personal life, and given the option when travelling, I will always book the eco option. Kimpton's website boasts of awards, accolades, and efforts the chain takes, so imagine my surprise when I turned on the lamp on the nighstand, and it was a regular lightbulb, there wasn't one compact fluorscent lightbulb in our room. Hotel chains such as Holiday Inn's don't tout their policies, and they have cfl's. Rule one of being environmentally responsible is cfl's. 
The cleaning products used by housekeeping eminated the worst odor ever, that gave me a sickening headache, and I have never experienced that before in a hotel, ever. Again, website touts non-toxic cleaning products, but this stuff stunk and certainly smelled toxic.
Our room faced Park Avenue, and as other reviews have noted, the soundproofing is non-existent. Its to be expected in NYC to experience noise, but this was just unbearable, and its not the busiest part of Park Avenue. I didn't even bother requesting a move since I heard a man complaining about it at the front desk, and the clerk told him there was nothing else available.
Thanksgiving Day, we got up, after two nights of no sleep, we got up to go to the parade, and I practically tripped over a very large bag of laundry outside the service elevator, and there was no one around, and there was a room service tray that looked like it had been out for hours. Coming back from the parade two hours later, the items were still in the hallway, tired, not wanting to navigate anymore, we decided to check out.
Went downstairs, bags packed, no clue where we were going, too tired to argue, plan or think. The same man that was also sleepless was again asking if an inside room was available, and it wasn't. I told him we were getting out, and he said he had decided to move next door to the Kitano. I wanted out of the neighborhood. The clerk was surprised we were checking out a day early, since it was an award, and I knew we wouldn't get those points back from American Express, nothing was worth me not sleeping. We ended up at the W Times Square, paying $350 a night for a gorgeous, quiet room that to us was priceless and perfect, and we slept through Thanksgiving, but were thankful for sleep, and not having to navigate through narrow hallways."
93543,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"“Spacious and really nice hotel” I've stayed in Manhattan hotels quite a bit and this is the first hotel I've stayed in that had a normal sized room, with normal sized closets and with a normal sized bathroom! And that last one was the biggest surprise! Everything in my room was really nice, the lobby is pretty cool looking and the bar was hopping at night and the bartender Mike really had it under control. Don't let the one elevator being remodeled keep you away...be patient or take the stairs and get your fitness level up! Speaking of which, they had a really nice fitness facility with a few weight machines, weighted balls, stability balls, treadmills, free weights, benches and mats for your ab work. I was really happy about that! I stayed a few extra days because the hotel was so nice as was their staff and of course to hang around with my friends in the city. It's not in the middle of all the tourist mayhem but it's definitely within walking distance if that's what you're looking. I highly recommend this hotel and can't wait to go back!"
93618,1.0,1.0,1.0,2.0,2.0,2.0,,"“Déceptif” Un hotel cher (pres de 350 USD la chambre par nuit) pour :
- une chambre en etat tres moyen et daté
- un coffre de chambre ne fonctionnant pas
- une climatisation défaillante (pres de 24 degre celsios avec la clim poussé à fond)
- un service de pressing qui froisse les chemises
- un ménage à 14 heures ! 
- une réception très impersonnelle et blasée
Cet hotel s'est endormi sur ses lauriers bien passé avec des couts excessifs pour un service très moyens !
L'hotel meriterait une renovation generale et un personnel plus attentif.
Je n'y retournerais pas et vous conseille de rechercher ailleurs."
262330,3.0,2.0,3.0,4.0,4.0,5.0,,"“Ditto, bring your earplugs” I recognize New York is noisy, and while you're up high in the Hilton Millenium, construction at ground zero can be pretty loud, even on a weekend. The rooms are very clean and for business travellers to downtown, the location couldn't be better. It's a bit overpriced, but which hotel in New York is not."
1464151,2.0,5.0,4.0,2.0,1.0,4.0,3.0,"“Rooms are too small for families” We stayed at this hotel for one night. I reserved two rooms hoping for adjoining rooms. The hotel does not have any rooms that connect. The rooms (even by NY) standards are way too small. With luggage, and a stroller, we were having a difficult time just walking around the room. This is a new hotel so the rooms and common areas are very clean. If you are a business man looking for a clean place to stay then I recommend this hotel. If you are a family, then I would not recommend this hotel. Apart from the rooms being small, the location isn't that great. you are technically a block and a half from Time Square, but that half block seems a bit too ""sketchy."" Again, a business man by himself, not a problem. Walking around with the kids, I didn't feel that comfortable, especially at night.
The staff were okay. They were friendly and accommodating. The check-in process could be better as it seemed like there was only one person checking in guests."
